Age: ,overtime,overlevel,overstress,fail,notinterested,review_fre,study_time,prepare_exam,sleeptime,goodsleep,leisure
20,3,4,2,0,2,2,1,4,2,1,1
20,2,2,4,1,0,2,1,1,3,1,1
20,1,2,3,0,0,0,3,1,3,1,1
20,4,3,2,1,1,3,3,2,2,0,1
20,2,2,2,0,1,1,2,4,2,0,1
20,4,4,10,0,0,3,2,1,1,0,1
20,3,4,3,1,1,3,0,2,0,0,3
20,7,6,10,4,4,3,1,3,2,0,2
20,3,3,4,0,0,3,1,2,2,0,2
20,2,2,4,1,1,3,2,1,2,1,1
22,2,3,3,0,7,3,0,4,2,0,1
20,1,1,2,0,0,2,2,2,2,1,1
20,5,5,6,2,1,2,1,3,2,0,0
21,3,2,8,0,5,3,0,2,2,1,2
21,0,2,10,0,0,3,4,4,3,1,1
21,0,2,10,0,2,3,4,4,3,1,2
20,8,4,10,2,4,4,0,2,2,0,4
20,3,4,4,1,3,3,0,1,2,0,2
21,5,4,4,2,4,3,1,1,3,0,0
20,1,1,1,0,1,1,1,1,4,1,0
21,2,3,4,0,5,3,2,4,2,1,0
21,0,1,1,0,1,3,4,1,2,1,1
19,3,3,5,0,0,3,2,3,1,0,1
21,3,2,4,0,0,3,1,2,2,0,4
20,1,0,0,0,0,0,4,1,3,1,0
20,3,3,1,0,1,2,3,4,3,1,1
21,4,4,4,3,4,2,2,4,2,0,4
22,2,2,2,1,0,0,3,4,1,0,0
22,1,1,3,0,0,1,2,4,3,1,2
21,2,3,4,1,3,3,0,4,2,1,2
20,4,4,4,0,4,4,0,2,2,0,2
21,2,2,2,0,0,2,1,3,3,1,1
22,4,4,10,0,2,3,3,4,3,0,0
22,1,3,4,4,3,2,1,4,2,1,1
23,3,2,3,4,3,3,2,2,3,0,2
24,3,3,4,2,2,3,1,2,2,0,3
21,4,3,3,3,3,0,2,3,3,1,1
21,4,4,4,4,4,3,2,2,2,1,2
21,1,1,1,1,1,1,1,4,3,1,1
21,2,1,3,0,2,3,0,2,2,1,2
23,2,1,4,0,0,3,0,3,2,0,1
20,4,4,8,0,0,3,4,3,2,0,0
21,3,1,4,0,2,3,1,3,2,1,2
20,1,2,3,1,3,3,1,4,3,1,2
21,2,1,1,1,0,2,1,2,3,1,1
